file,price,beds,baths,sqft,yearbuilt,zip,zestimate,zlink,address
boston_forsale_02124.csv,104999,2,1,696,1910,2124,108953,http://www.zillow.com/homedetails/1111-1115-Blue-Hill-Ave-UNIT-5-Dorchester-MA-02124/59163095_zpid/,"1111-1115 Blue Hill Ave, UNIT 5, DORCHESTER, MA 02124"
boston_forsale_02126.csv,109000,2,1,896,1905,2126,114384,http://www.zillow.com/homedetails/27-Hosmer-St-APT-1-Boston-MA-02126/81378796_zpid/,"27 Hosmer St, APT 1, Boston, MA 02126"
boston_forsale_02122.csv,109900,1,1,610,1962,2122,105727,http://www.zillow.com/homedetails/46-Adams-St-APT-C3-Dorchester-MA-02122/59110194_zpid/,"46 Adams St, APT C3, Dorchester, MA 02122"
boston_forsale_02128.csv,118510,1,1,575,1920,2128,118510,http://www.zillow.com/homedetails/150-Orleans-St-APT-101-Boston-MA-02128/59119634_zpid/,"150 Orleans St, APT 101, Boston, MA 02128"
boston_forsale_02125.csv,122000,2,1,976,1905,2125,128099,http://www.zillow.com/homedetails/14-Edison-Grn-1-Boston-MA-02125/2114489408_zpid/,"14 Edison Grn, # 1, Boston, MA 02125"
boston_forsale_02125.csv,123230,2,1,792,1920,2125,123230,http://www.zillow.com/homedetails/51-Stanley-St-APT-2R-Dorchester-MA-02125/63709196_zpid/,"51 Stanley St, APT 2R, Dorchester, MA 02125"
boston_forsale_02122.csv,129000,1,1,620,1965,2122,134872,http://www.zillow.com/homedetails/135-Neponset-Ave-APT-1-Dorchester-MA-02122/81856090_zpid/,"135 Neponset Ave, APT 1, Dorchester, MA 02122"
boston_forsale_02124.csv,133734,3,1,1144,1900,2124,133734,http://www.zillow.com/homedetails/350-352-Gallivan-Blvd-UNIT-3-Boston-MA-02124/71496848_zpid/,"350-352 Gallivan Blvd, UNIT 3, BOSTON, MA 02124"
boston_forsale_02119.csv,135587,3,1.5,1085,1989,2119,135587,http://www.zillow.com/homedetails/70-Regent-St-UNIT-1-Boston-MA-02119/59185095_zpid/,"70 Regent St, UNIT 1, BOSTON, MA 02119"
boston_forsale_02119.csv,137875,2,1.5,1235,1988,2119,137875,http://www.zillow.com/homedetails/66-Saint-James-St-APT-208-Roxbury-MA-02119/59185055_zpid/,"66 Saint James St, APT 208, Roxbury, MA 02119"
boston_forsale_02125.csv,139000,1,1,509,1900,2125,163463,http://www.zillow.com/homedetails/174-Grampian-Way-UNIT-2R-Dorchester-MA-02125/71505034_zpid/,"174 Grampian Way, UNIT 2R, Dorchester, MA 02125"
boston_forsale_02119.csv,145088,2,1,1207,1989,2119,145088,http://www.zillow.com/homedetails/29-Circuit-St-UNIT-2-Roxbury-MA-02119/59185080_zpid/,"29 Circuit St, UNIT 2, Roxbury, MA 02119"
boston_forsale_02125.csv,149900,2,1,991,1900,2125,160651,http://www.zillow.com/homedetails/59-Monadnock-St-APT-8-Dorchester-MA-02125/59212433_zpid/,"59 Monadnock St, APT 8, Dorchester, MA 02125"
boston_forsale_02125.csv,156004,4,2,2015,1900,2125,156004,http://www.zillow.com/homedetails/18-Richfield-St-Dorchester-MA-02125/59104737_zpid/,"18 Richfield St, Dorchester, MA 02125"
boston_forsale_02125.csv,157728,2,1,976,1905,2125,157728,http://www.zillow.com/homedetails/14-Edison-Grn-UNIT-1-Dorchester-MA-02125/68005435_zpid/,"14 Edison Grn, UNIT 1, Dorchester, MA 02125"
boston_forsale_02118.csv,164710,1,1,515,1900,2118,0,http://www.zillow.com/homedetails/77-E-Berkeley-St-APT-9-Boston-MA-02118/59182262_zpid/,"77 E Berkeley St, APT 9, Boston, MA 02118"
boston_forsale_02126.csv,167900,3,1.5,1120,1988,2126,0,http://www.zillow.com/homedetails/64-Mattapan-St-UNIT-64-Boston-MA-02126/59136557_zpid/,"64 Mattapan St, UNIT 64, Boston, MA 02126"
boston_forsale_02125.csv,169000,2,1,694,1900,2125,169749,http://www.zillow.com/homedetails/174-Grampian-Way-UNIT-1R-Dorchester-MA-02125/71504963_zpid/,"174 Grampian Way, UNIT 1R, Dorchester, MA 02125"
boston_forsale_02128.csv,169000,1,1,415,1920,2128,166336,http://www.zillow.com/homedetails/366-368-Sumner-St-UNIT-2-Boston-MA-02128/71490712_zpid/,"366-368 Sumner St, UNIT 2, BOSTON, MA 02128"
boston_forsale_02125.csv,169900,2,1,1255,1905,2125,196544,http://www.zillow.com/homedetails/9-Ronan-St-UNIT-3-Dorchester-MA-02125/81853748_zpid/,"9 Ronan St, UNIT 3, Dorchester, MA 02125"
boston_forsale_02119.csv,170978,3,2.5,1272,1900,2119,170978,http://www.zillow.com/homedetails/31-School-St-Roxbury-MA-02119/59187725_zpid/,"31 School St, Roxbury, MA 02119"
boston_forsale_02122.csv,171236,2,1.5,1038,1905,2122,171236,http://www.zillow.com/homedetails/527-Ashmont-St-UNIT-527-Dorchester-MA-02122/81854124_zpid/,"527 Ashmont St, UNIT 527, Dorchester, MA 02122"
boston_forsale_02121.csv,171503,4,2,2449,1910,2121,171503,http://www.zillow.com/homedetails/15-Schuyler-St-Dorchester-MA-02121/59115093_zpid/,"15 Schuyler St, Dorchester, MA 02121"
boston_forsale_02122.csv,175000,2,1,1106,1876,2122,203673,http://www.zillow.com/homedetails/51-Chickatawbut-St-Dorchester-MA-02122/2132402411_zpid/,"51 Chickatawbut St, Dorchester, MA 02122"
boston_forsale_02122.csv,178000,2,1,709,1960,2122,144608,http://www.zillow.com/homedetails/20-Dix-St-APT-41-Dorchester-MA-02122/59102576_zpid/,"20 Dix St, APT 41, Dorchester, MA 02122"
boston_forsale_02122.csv,179900,2,1,1425,1901,2122,153935,http://www.zillow.com/homedetails/473-Adams-St-UNIT-1-Dorchester-MA-02122/71546474_zpid/,"473 Adams St, UNIT 1, Dorchester, MA 02122"
boston_forsale_02122.csv,180000,2,1,955,1905,2122,160843,http://www.zillow.com/homedetails/11-Ridgewood-St-UNIT-1-Dorchester-MA-02122/81853668_zpid/,"11 Ridgewood St, UNIT 1, Dorchester, MA 02122"
boston_forsale_02128.csv,180000,1,1,476,1910,2128,159437,http://www.zillow.com/homedetails/267-Lexington-St-APT-2-Boston-MA-02128/81854562_zpid/,"267 Lexington St, APT 2, Boston, MA 02128"
boston_forsale_02128.csv,182229,3,2,1396,1900,2128,182229,http://www.zillow.com/homedetails/175-Bennington-St-Boston-MA-02128/59123538_zpid/,"175 Bennington St, Boston, MA 02128"
boston_forsale_02128.csv,192900,1,1,741,1900,2128,186643,http://www.zillow.com/homedetails/240-Paris-St-1-East-Boston-MA-02128/2114512230_zpid/,"240 Paris St, # 1, East Boston, MA 02128"
boston_forsale_02128.csv,192900,1,1,741,1900,2128,181473,http://www.zillow.com/homedetails/240-Paris-St-UNIT-1-Boston-MA-02128/81379143_zpid/,"240 Paris St, UNIT 1, Boston, MA 02128"
boston_forsale_02124.csv,195000,3,1.5,1337,1910,2124,203313,http://www.zillow.com/homedetails/62-64-Wrentham-St-UNIT-2-Boston-MA-02124/71504943_zpid/,"62-64 Wrentham St, UNIT 2, BOSTON, MA 02124"
boston_forsale_02128.csv,195000,1,1,530,1912,2128,171311,http://www.zillow.com/homedetails/142-146-Everett-St-UNIT-1-Boston-MA-02128/81380207_zpid/,"142-146 Everett St, UNIT 1, BOSTON, MA 02128"
boston_forsale_02119.csv,196720,4,1.5,2160,1900,2119,196720,http://www.zillow.com/homedetails/105-Munroe-St-Roxbury-MA-02119/59186964_zpid/,"105 Munroe St, Roxbury, MA 02119"
boston_forsale_02119.csv,199200,5,3,2310,1900,2119,199200,http://www.zillow.com/homedetails/66-Rockland-St-Roxbury-MA-02119/67094873_zpid/,"66 Rockland St, Roxbury, MA 02119"
boston_forsale_02108.csv,199900,4,2.5,2500,21012,2108,770853,http://www.zillow.com/homedetails/8100-Arrowhead-Pikesville-MD-2108/2117758893_zpid/,"8100 Arrowhead, Pikesville, MD 2108"
boston_forsale_02125.csv,201117,5,2,2409,1900,2125,201117,http://www.zillow.com/homedetails/3-Hartford-Ter-Dorchester-MA-02125/59106953_zpid/,"3 Hartford Ter, Dorchester, MA 02125"
boston_forsale_02122.csv,205000,1,1,780,1874,2122,201755,http://www.zillow.com/homedetails/14-Everett-St-U-6-Boston-MA-02122/2114086944_zpid/,"14 Everett St, # U-6, Boston, MA 02122"
boston_forsale_02124.csv,208005,6,2,2409,1885,2124,208005,http://www.zillow.com/homedetails/8-10-Withington-St-Boston-MA-02124/59108525_zpid/,"8-10 Withington St, BOSTON, MA 02124"
boston_forsale_02127.csv,209000,1,1,357,1899,2127,345056,http://www.zillow.com/homedetails/122-D-St-2-South-Boston-MA-02127/2119374892_zpid/,"122 D St, # 2, South Boston, MA 02127"
boston_forsale_02124.csv,210000,4,3,1398,1935,2124,274568,http://www.zillow.com/homedetails/1051A-Washington-St-Boston-MA-02124/2114500763_zpid/,"1051A Washington St, Boston, MA 02124"
boston_forsale_02122.csv,212000,2,1.5,1265,1987,2122,214406,http://www.zillow.com/homedetails/129-Neponset-Ave-APT-2-Dorchester-MA-02122/59102610_zpid/,"129 Neponset Ave, APT 2, Dorchester, MA 02122"
boston_forsale_02128.csv,215000,2,1,1012,1920,2128,176065,http://www.zillow.com/homedetails/173-Brooks-St-UNIT-D-East-Boston-MA-02128/59119580_zpid/,"173 Brooks St, UNIT D, East Boston, MA 02128"
boston_forsale_02122.csv,219000,2,1,779,1965,2122,186681,http://www.zillow.com/homedetails/10-Coffey-St-APT-32-Dorchester-MA-02122/59102770_zpid/,"10 Coffey St, APT 32, Dorchester, MA 02122"
boston_forsale_02119.csv,220000,3,2,1322,1900,2119,0,http://www.zillow.com/homedetails/19-21-Norfolk-St-2-Boston-MA-02119/2113400490_zpid/,"19-21 Norfolk St, # 2, Boston, MA 02119"
boston_forsale_02121.csv,220000,3,2,1381,1993,2121,211966,http://www.zillow.com/homedetails/62-Erie-St-UNIT-62-Dorchester-MA-02121/59102068_zpid/,"62 Erie St, UNIT 62, Dorchester, MA 02121"
boston_forsale_02121.csv,220000,6,3,3033,1920,2121,0,http://www.zillow.com/homedetails/19-Mallon-Rd-Dorchester-MA-02121/59107792_zpid/,"19 Mallon Rd, Dorchester, MA 02121"
boston_forsale_02119.csv,220179,4,2.5,2683,1895,2119,220179,http://www.zillow.com/homedetails/36-Clifford-St-Roxbury-MA-02119/59185994_zpid/,"36 Clifford St, Roxbury, MA 02119"
boston_forsale_02126.csv,222594,5,3,2179,1920,2126,222594,http://www.zillow.com/homedetails/29-31-Idaho-St-Boston-MA-02126/59138746_zpid/,"29-31 Idaho St, BOSTON, MA 02126"
boston_forsale_02128.csv,224000,1,1,898,1847,2128,221706,http://www.zillow.com/homedetails/177-Webster-St-G-Boston-MA-02128/2113512807_zpid/,"177 Webster St, # G, Boston, MA 02128"
boston_forsale_02119.csv,225000,6,2,3047,1920,2119,340661,http://www.zillow.com/homedetails/57-57A-Blue-Hl-Boston-MA-02119/2115875781_zpid/,"57-57A Blue Hl, Boston, MA 02119"
boston_forsale_02124.csv,226263,3,1.5,2009,1893,2124,226263,http://www.zillow.com/homedetails/11-Lindsey-St-Boston-MA-02124/59105727_zpid/,"11 Lindsey St, Boston, MA 02124"
boston_forsale_02125.csv,227900,3,1,1050,1920,2125,222042,http://www.zillow.com/homedetails/79-Sumner-St-UNIT-3-Dorchester-MA-02125/71496712_zpid/,"79 Sumner St, UNIT 3, Dorchester, MA 02125"
boston_forsale_02126.csv,228230,5,3,2630,1910,2126,228230,http://www.zillow.com/homedetails/15-Rector-Rd-Boston-MA-02126/59139705_zpid/,"15 Rector Rd, Boston, MA 02126"
boston_forsale_02119.csv,229000,4,2,1628,1890,2119,270257,http://www.zillow.com/homedetails/16-Wardman-Rd-UNIT-3-Roxbury-MA-02119/71496929_zpid/,"16 Wardman Rd, UNIT 3, Roxbury, MA 02119"
boston_forsale_02119.csv,229000,3,1,1000,1910,2119,275306,http://www.zillow.com/homedetails/48-Alpine-St-1-Boston-MA-02119/2117158931_zpid/,"48 Alpine St, # 1, Boston, MA 02119"
boston_forsale_02127.csv,229000,1,1,400,1925,2127,217411,http://www.zillow.com/homedetails/3-Bay-State-Pl-2-Boston-MA-02127/2127753804_zpid/,"3 Bay State Pl, # 2, Boston, MA 02127"
boston_forsale_02125.csv,229900,2,1,706,1900,2125,217352,http://www.zillow.com/homedetails/87-Roseclair-St-UNIT-1-Dorchester-MA-02125/71497163_zpid/,"87 Roseclair St, UNIT 1, Dorchester, MA 02125"
boston_forsale_02128.csv,229900,3,1,1017,1930,2128,234851,http://www.zillow.com/homedetails/157-Coleridge-St-UNIT-2-Boston-MA-02128/63530316_zpid/,"157 Coleridge St, UNIT 2, Boston, MA 02128"
boston_forsale_02118.csv,230000,1,1,505,1910,2118,0,http://www.zillow.com/homedetails/200-Northampton-St-APT-4-Boston-MA-02118/71505172_zpid/,"200 Northampton St, APT 4, Boston, MA 02118"
boston_forsale_02128.csv,230000,2,1,833,1900,2128,169298,http://www.zillow.com/homedetails/92-Brooks-St-UNIT-3-Boston-MA-02128/59119951_zpid/,"92 Brooks St, UNIT 3, Boston, MA 02128"
boston_forsale_02126.csv,232703,6,2,2652,1935,2126,232703,http://www.zillow.com/homedetails/10-Brockton-St-Boston-MA-02126/59138266_zpid/,"10 Brockton St, Boston, MA 02126"
boston_forsale_02124.csv,234213,4,2,2714,1920,2124,234213,http://www.zillow.com/homedetails/19-21-Vera-St-Boston-MA-02124/59114402_zpid/,"19-21 Vera St, BOSTON, MA 02124"
boston_forsale_02121.csv,235000,3,1,1014,1900,2121,0,http://www.zillow.com/homedetails/9-Abbotsford-St-UNIT-2-Dorchester-MA-02121/71497238_zpid/,"9 Abbotsford St, UNIT 2, Dorchester, MA 02121"
boston_forsale_02125.csv,237238,4,3,2619,1905,2125,237238,http://www.zillow.com/homedetails/10-Cameron-St-Dorchester-MA-02125/59107131_zpid/,"10 Cameron St, Dorchester, MA 02125"
boston_forsale_02119.csv,239000,3,1,1530,1905,2119,241677,http://www.zillow.com/homedetails/67-Clifford-St-2-Boston-MA-02119/2114446700_zpid/,"67 Clifford St, # 2, Boston, MA 02119"
boston_forsale_02125.csv,239000,2,1,768,2006,2125,0,http://www.zillow.com/homedetails/40-Hancock-St-APT-9-Dorchester-MA-02125/87797226_zpid/,"40 Hancock St, APT 9, Dorchester, MA 02125"
boston_forsale_02128.csv,239900,3,2,1398,1910,2128,0,http://www.zillow.com/homedetails/18-Wordsworth-St-Boston-MA-02128/59122209_zpid/,"18 Wordsworth St, Boston, MA 02128"
boston_forsale_02119.csv,240000,1,1,700,1890,2119,267418,http://www.zillow.com/homedetails/91-Fort-Ave-3-Roxbury-MA-02119/2144724669_zpid/,"91 Fort Ave, # 3, Roxbury, MA 02119"
