file,price,beds,baths,sqft,yearbuilt,zip,zestimate
boston_sold_02114.csv,727500,2,2,1155,1865,2114,842086
boston_sold_02127.csv,224250,1,1,451,1880,2127,224090
boston_sold_02114.csv,251500,1,1,435,1899,2114,318812
boston_sold_02215.csv,5400000,4,3.5,3801,1910,2215,5530458
boston_sold_02119.csv,132000,3,1.5,1092,1989,2119,171003
boston_sold_02127.csv,340000,2,1,610,1890,2127,305711
boston_sold_02125.csv,200000,9,3,4155,1905,2125,435462
boston_sold_02114.csv,299000,1,1,538,1850,2114,307116
boston_sold_02113.csv,299000,2,1,670,1900,2113,401829
boston_sold_02118.csv,620000,2,1,779,1899,2118,583577
boston_sold_02116.csv,1085000,4,2,1959,1890,2116,1214259
boston_sold_02114.csv,286000,1,1,407,1899,2114,392694
boston_sold_02113.csv,386000,2,1,728,1900,2113,385552
boston_sold_02215.csv,453000,2,1,946,2006,2215,493051
boston_sold_02125.csv,265000,2,2,2105,1890,2125,307139
boston_sold_02114.csv,702500,1,1,750,1900,2114,589387
boston_sold_02128.csv,369000,2,2,1458,1900,2128,357027
boston_sold_02121.csv,335000,8,3,4875,1905,2121,388801
boston_sold_02115.csv,391000,1,1,475,1895,2115,239735
boston_sold_02125.csv,270000,2,1,926,1895,2125,239208
boston_sold_02125.csv,370000,6,3,3336,1905,2125,413709
boston_sold_02115.csv,5300000,2,2.5,2200,1880,2115,2072378
boston_sold_02127.csv,439900,3,1,1358,1890,2127,419538
boston_sold_02125.csv,200000,2,1.5,1130,1899,2125,251598
boston_sold_02128.csv,251000,5,2.5,2180,1900,2128,278931
boston_sold_02114.csv,623000,2,1,945,1897,2114,672547
boston_sold_02118.csv,320000,3,1,1200,1900,2118,0
boston_sold_02111.csv,3732900,4,4.5,3246,1999,2111,3901790
boston_sold_02116.csv,1032250,2,2,1428,1881,2116,1062912
boston_sold_02126.csv,235000,4,1,974,1950,2126,234296
boston_sold_02118.csv,710000,1,1.5,982,1860,2118,694286
boston_sold_02108.csv,3225000,3,2.5,3536,1870,2108,3266789
boston_sold_02126.csv,205000,2,1.5,720,1940,2126,195026
boston_sold_02118.csv,889000,2,2,1430,1850,2118,912708
boston_sold_02116.csv,227900,4,2,2295,1870,2116,1209228
boston_sold_02128.csv,201000,4,2,1920,1900,2128,276439
boston_sold_02116.csv,475000,1,1,670,1870,2116,414781
boston_sold_02128.csv,180000,2,1,620,1910,2128,160186
boston_sold_02116.csv,380000,1,1,666,1900,2116,354567
boston_sold_02122.csv,270000,2,1.5,1200,1985,2122,255104
boston_sold_02108.csv,499000,1,1,505,1900,2108,460701
boston_sold_02125.csv,265000,2,2,1000,1905,2125,256237
boston_sold_02125.csv,289000,6,3,3144,1870,2125,324969
boston_sold_02116.csv,513500,2,1,835,1900,2116,595571
boston_sold_02128.csv,417000,7,3,2781,1910,2128,395679
boston_sold_02210.csv,435000,1,1,1170,1911,2210,531960
boston_sold_02109.csv,905000,1,1.5,1027,2008,2109,945994
boston_sold_02127.csv,422000,1,1,852,1906,2127,419629
boston_sold_02127.csv,750000,8,3,3249,1905,2127,712722
boston_sold_02215.csv,349000,1,1,712,1900,2215,381025
boston_sold_02126.csv,265000,6,2,2176,1960,2126,310512
boston_sold_02210.csv,780000,1,1.5,1132,2006,2210,819474
boston_sold_02109.csv,372500,1,1,631,1896,2109,380502
boston_sold_02116.csv,1550000,2,2.5,1989,2005,2116,1707047
boston_sold_02215.csv,331500,1,1,675,1890,2215,368996
boston_sold_02127.csv,399000,1,1,804,2007,2127,445309
boston_sold_02115.csv,680000,4,2,2916,1905,2115,0
boston_sold_02127.csv,316000,1,1,570,1900,2127,293162
boston_sold_02126.csv,180000,5,2,2288,1910,2126,228176
boston_sold_02115.csv,492500,1,1,700,1800,2115,462282
boston_sold_02116.csv,574200,1,1,795,1889,2116,555704
boston_sold_02114.csv,645000,2,2,1374,2003,2114,833513
boston_sold_02118.csv,423000,1,1,621,1900,2118,377772
boston_sold_02115.csv,342500,1,1,618,1899,2115,295533
boston_sold_02114.csv,265000,1,1,536,1964,2114,279317
boston_sold_02125.csv,350000,2,2,1183,2004,2125,339778
boston_sold_02215.csv,352000,1,1,632,2006,2215,394043
boston_sold_02121.csv,173000,6,2,2564,1900,2121,239163
boston_sold_02111.csv,625000,2,2,1052,2004,2111,605388
boston_sold_02122.csv,385000,9,3,3823,1905,2122,369435
boston_sold_02116.csv,2350000,94,10.5,4365,1850,2116,2154939
boston_sold_02118.csv,727500,2,2,1438,1911,2118,735227
boston_sold_02109.csv,1387500,1,1.5,1371,2008,2109,1195931
